reception_time,ip,label,sentence,answer,time
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,4,479
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,4,429
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,4,393
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя не позволяло льду тронуться.,4,387
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,4,425
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,4,372
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,7,2585
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,7,1013
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,7,193
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,7,163
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,7,176
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,7,258
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,7,196
1636882823,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.act.a,Бесконечные промедления не позволяли делу сдвинуться с мёртвой точки.,7,594
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,5,432
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,5,334
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,5,350
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,5,368
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,5,517
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.pozv.act.a,Бесконечные промедления не позволяли делу сдвинуться с мёртвой точки.,5,624
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,5,545
1636884085,68a5f30804bb182eafc9aba1e3a978f3,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,5,470
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,5,21148
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,7,4910
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,4,5932
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,5,7280
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя не позволяло льду тронуться.,6,75611
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,4,7164
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,7,5360
1636885041,5da1ea2b070a8ad78c47b1257c7ef58d,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,6,9556
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,6,9266
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,5,6443
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,5,6480
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,4,4528
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,4,3320
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,3,2652
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,4,8148
1636887159,5c363bbc12e9e841dd3cb3cf4fcc6004,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,5,4041
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,7,18687
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,6,5171
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,5,7374
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,6,7285
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,5,16017
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,7,53162
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,7,3562
1636887573,f0b2a6df8d960f5ee6863a0b191e31bd,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,7,7571
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.pozv.act.a,Бесконечные промедления не позволяли делу сдвинуться с мёртвой точки.,4,25060
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,5,11753
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,6,13889
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,3,16370
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,4,23711
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,3,17385
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,7,11957
1636887800,1896cf933c44ea996fc3963cb37fd3ef,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,4,12014
1636889655,9bc014e752defdd02a774294b151fa9b,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,3,15183
1636889655,9bc014e752defdd02a774294b151fa9b,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,7,13415
1636889655,9bc014e752defdd02a774294b151fa9b,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,6,10873
1636889655,9bc014e752defdd02a774294b151fa9b,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,2,10848
1636889655,9bc014e752defdd02a774294b151fa9b,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,1,8605
1636889655,9bc014e752defdd02a774294b151fa9b,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,1,7146
1636889655,9bc014e752defdd02a774294b151fa9b,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,3,10838
1636889655,9bc014e752defdd02a774294b151fa9b,id.pozv.act.a,Бесконечные промедления никак не позволяли делу сдвинуться с мёртвой точки.,7,9194
1636890679,37e414959217a259a70705eaece5ec03,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,5,10491
1636890679,37e414959217a259a70705eaece5ec03,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,3,7510
1636890679,37e414959217a259a70705eaece5ec03,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,3,14501
1636890679,37e414959217a259a70705eaece5ec03,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,4,7979
1636890679,37e414959217a259a70705eaece5ec03,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,5,8478
1636890679,37e414959217a259a70705eaece5ec03,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,4,11532
1636890679,37e414959217a259a70705eaece5ec03,id.pozv.act.a,Бесконечные промедления никак не позволяли делу сдвинуться с мёртвой точки.,7,4408
1636890679,37e414959217a259a70705eaece5ec03,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,4,8620
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,5,17694
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,5,12149
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,4,6753
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,7,11574
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,1,4445
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,1,6258
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,1,14156
1636890836,5f52f8bf97757ccb03110f1d6996141f,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,7,13738
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,4,18188
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,1,3917
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,7,13674
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,3,11990
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,3,13655
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,4,16479
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,1,4997
1636891169,8c059bf3b2f9b2858f2f14f85e953521,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,7,8090
1636891228,b77a11346d431b41381706d78c3d573e,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,7,13586
1636891228,b77a11346d431b41381706d78c3d573e,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,7,5998
1636891228,b77a11346d431b41381706d78c3d573e,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,3,10691
1636891228,b77a11346d431b41381706d78c3d573e,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,3,7365
1636891228,b77a11346d431b41381706d78c3d573e,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,5,9025
1636891228,b77a11346d431b41381706d78c3d573e,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,2,8251
1636891228,b77a11346d431b41381706d78c3d573e,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,6,8035
1636891228,b77a11346d431b41381706d78c3d573e,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,7,16163
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,4,15727
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,6,12377
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,3,11282
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,3,17392
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.pozv.act.a,Бесконечные промедления никак не позволяли делу сдвинуться с мёртвой точки.,6,10458
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,2,8035
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,7,6520
1636891346,5f652a4bcbf054e777531b97d94ab24c,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,3,11785
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,3,9783
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,6,6901
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,5,7623
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.pozv.act.a,Бесконечные промедления никак не позволяли делу сдвинуться с мёртвой точки.,6,3564
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,6,9985
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,2,11191
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,6,7966
1636892043,cd9c39c5b3e6a719599b817f78b76513,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,4,9469
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,1,30643
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,7,91783
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,7,316869
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,5,16465
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,4,22798
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,2,4889
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,1,5879
1636892220,2bbf962b2cee8d0d1b8b54a7cf99246e,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,7,6897
1636892276,93258775fa99592c731ef7bd7dc929d2,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,5,12060
1636892276,93258775fa99592c731ef7bd7dc929d2,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,3,2632933
1636892276,93258775fa99592c731ef7bd7dc929d2,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,7,7245
1636892276,93258775fa99592c731ef7bd7dc929d2,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,3,5296
1636892276,93258775fa99592c731ef7bd7dc929d2,id.pozv.act.a,Бесконечные промедления не позволяли делу сдвинуться с мёртвой точки.,6,6546
1636892276,93258775fa99592c731ef7bd7dc929d2,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,5,5751
1636892276,93258775fa99592c731ef7bd7dc929d2,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,4,9158
1636892276,93258775fa99592c731ef7bd7dc929d2,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,4,7845
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.pozv.act.a,Бесконечные промедления никак не позволяли делу сдвинуться с мёртвой точки.,7,8960
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,3,15225
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.pomo.pass.b,Дружелюбный настрой Костиных новых знакомых и бутылка хорошего полусухого вина помогли льду растопиться быстро и легко.,7,12703
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,5,23577
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,4,23981
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,6,29034
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.zast.act.a,Очередной провал заставил почву уйти из-под ног молодого предпринимателя – выхода из ситуации не было никакого. ,4,14206
1636893483,6a4116d4321a2ed3097ee34bc28af9b9,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,5,7927
1636893507,2d2e527554296b7ac61cd81b386750a3,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,1,22814
1636893507,2d2e527554296b7ac61cd81b386750a3,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,4,45225
1636893507,2d2e527554296b7ac61cd81b386750a3,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,6,22998
1636893507,2d2e527554296b7ac61cd81b386750a3,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,1,9933
1636893507,2d2e527554296b7ac61cd81b386750a3,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,2,15606
1636893507,2d2e527554296b7ac61cd81b386750a3,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя всё никак не позволяло льду тронуться.,1,14938
1636893507,2d2e527554296b7ac61cd81b386750a3,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,1,6090
1636893507,2d2e527554296b7ac61cd81b386750a3,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,1,4969
1636894982,b3f42dd36f5ba67d743a7845a7fc75fd,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,5,9117
1636894982,b3f42dd36f5ba67d743a7845a7fc75fd,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,7,9161
1636894982,b3f42dd36f5ba67d743a7845a7fc75fd,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,5,7606
1636894982,b3f42dd36f5ba67d743a7845a7fc75fd,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,2,4539
1636894982,b3f42dd36f5ba67d743a7845a7fc75fd,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,5,10396
